,University_name,Region,Founded_year,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
40,University of Leicester,East Midlands,1957.0,So that they may have life,41.0,167.0,77.7,4.5,14000.0,13500.0,22.20%,78.00%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,7650.0,52.6211,-1.1246,www2.le.ac.uk
44,Aberystwyth University,Wales,1872.0,A world without knowledge is no world at all,45.0,466.0,71.0,4.5,10500.0,11250.0,13.10%,86.10%,"7,000-7,999",700-799,Public,Semesters,Suburban,7771.0,52.4183,-4.0639,www.aber.ac.uk/
45,Keele University,West Midlands,1962.0,Thanke God for All,46.0,729.0,70.6,5.5,12500.0,13500.0,15.70%,82.50%,"10,000-14,999",800-899,Public,Semesters,Rural,8000.0,53.003,-2.2721,www.keele.ac.uk
46,University of Stirling,Scotland,1967.0,"By connecting, innovating and transforming, we believe our thinking can change the world",47.0,659.0,70.8,5.5,11275.0,11900.0,11.80%,75.60%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,7000.0,56.1461,-3.9178,www.stir.ac.uk
47,Aston University,West Midlands,1895.0,Forward,48.0,699.0,70.5,5.5,13500.0,13500.0,16.50%,77.30%,"10,000-14,999",800-899,Public,Trimesters,Urban,6000.0,52.4867,-1.8882,www.aston.ac.uk
48,Queen Mary University of London,London,1989.0,With united power,49.0,98.0,79.9,5.5,13650.0,13950.0,23.30%,74.30%,"20,000-24,999","3,000-3,499",Public,Semesters,Urban,9500.0,51.5241,-0.0404,www.qmw.ac.uk
49,Coventry University,West Midlands,1992.0,Skill and energy,50.0,611.0,69.0,4.5,10766.0,10689.0,27.10%,81.50%,"30,000-34,999","2,500-2,999",Public,Other,Urban,8097.0,52.4074,-1.5026,www.coventry.ac.uk
50,University of Lincoln,East of England,1992.0,Excellence through study,51.0,877.0,68.4,4.5,12800.0,15700.0,9.40%,79.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9415.0,53.2279,-0.5502,www.lincoln.ac.uk
53,University of Kent,South East England,1965.0,Whose service is perfect freedom,54.0,416.0,72.5,5.5,12890.0,12890.0,20.40%,76.60%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,8990.0,51.2967,1.063,www.kent.ac.uk/
56,University of Portsmouth,South East England,1992.0,Let us follow the Light,56.0,531.0,71.0,4.5,11500.0,11500.0,16.60%,79.30%,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6500.0,50.7939,-1.0974,www.port.ac.uk
57,University of the West of England,South West England,1992.0,"Light, Liberty, Learning",58.0,469.0,68.8,4.5,11250.0,11250.0,11.60%,83.10%,"25,000-29,999","1,500-1,999",Public,Semesters,Suburban,8217.0,51.5006,-2.5474,www.uwe.ac.uk
60,University of Huddersfield,Yorkshire and the Humber,1992.0,"For You, But Not Yours",61.0,1111.0,68.1,4.5,12000.0,12500.0,14.20%,78.30%,"15,000-19,999",900-999,Public,Continuous,Urban,8270.0,53.6428,-1.7781,www.hud.ac.uk
63,Oxford Brookes University,South East England,1865.0,learning through doing,64.0,674.0,68.2,4.5,12400.0,12580.0,15.30%,77.00%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,8990.0,51.755,-1.2242,www.brookes.ac.uk
64,Northumbria University,North East England,1992.0,The age of learning,65.0,803.0,71.1,4.5,11500.0,11500.0,10.50%,78.30%,"25,000-29,999","1,000-1,499",Public,Semesters,Urban,8000.0,54.9769,-1.6072,www.unn.ac.uk
65,Sheffield Hallam University,Yorkshire and the Humber,1992.0,Learn and Serve,65.0,576.0,67.4,4.5,11500.0,12700.0,5.90%,81.10%,"30,000-34,999","2,000-2,499",Public,Semesters,Urban,8400.0,53.3785,-1.4663,www.shu.ac.uk
74,University of Central Lancashire,North West England,1992.0,From the Earth to the Sun,75.0,804.0,68.2,4.5,11450.0,11950.0,8.50%,78.70%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7500.0,53.7645,-2.7083,www.uclan.ac.uk
76,University of Hull,Yorkshire and the Humber,1954.0,Bearing the Torch,77.0,734.0,74.0,4.5,12300.0,12300.0,9.60%,77.10%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,8000.0,53.7731,-0.367,www.hull.ac.uk
77,Liverpool John Moores University,North West England,1992.0,Fortune Assists the Bold,78.0,691.0,71.3,4.5,11000.0,11000.0,4.70%,79.10%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7471.0,53.4037,-2.9731,ljmu.ac.uk
83,University of Greenwich,London,1890.0,"To learn, to do, to achieve",84.0,747.0,68.7,4.0,10850.0,11700.0,14.90%,78.40%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,10229.0,51.483,-0.0064,www.gre.ac.uk
87,University of Hertfordshire,East of England,1992.0,Seek Knowledge Throughout Life,88.0,604.0,69.5,4.0,11000.0,12000.0,14.00%,78.30%,"20,000-24,999","1,500-1,999",Public,Semesters,Suburban,9415.0,51.7615,-0.2483,www.herts.ac.uk
96,Glasgow Caledonian University,Scotland,1993.0,For the Common Weal,96.0,1284.0,67.2,4.5,10467.0,11133.0,8.10%,76.50%,"15,000-19,999",700-799,Public,Trimesters,Urban,8000.0,55.8668,-4.25,www.gcu.ac.uk
99,Brunel University London,London,1966.0,"To bring benefit to society through excellence in education, research and knowledge transfer",100.0,578.0,73.5,4.5,13500.0,13500.0,20.60%,73.40%,"10,000-14,999","1,000-1,499",Public,Trimesters,Suburban,7000.0,51.5321,-0.4727,www.brunel.ac.uk
100,Edinburgh Napier University,Scotland,1992.0,"Without knowledge, everything is in vain",101.0,676.0,66.2,4.5,11250.0,12000.0,16.60%,75.90%,"10,000-14,999",800-899,Public,Trimesters,Urban,8000.0,55.9332,-3.2142,www.napier.ac.uk
104,University of Bradford,Yorkshire and the Humber,1966.0,Give invention light,105.0,1392.0,68.6,4.5,12100.0,12650.0,14.90%,74.30%,"9,000-9,999",500-599,Public,Semesters,Urban,8270.0,53.7915,-1.7661,www.brad.ac.uk
105,Kingston University,London,1992.0,Through learning we progress,106.0,817.0,67.4,4.5,11300.0,12500.0,14.50%,78.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,10229.0,51.4032,-0.3035,www.kingston.ac.uk/
107,University of the West of Scotland,Scotland,1897.0,To achieve through hard work,108.0,1905.0,66.9,4.5,11000.0,11000.0,5.20%,78.00%,"15,000-19,999",600-699,Public,Trimesters,Urban,8000.0,55.7782,-4.1041,www.uws.ac.uk
110,University of Salford,North West England,1967.0,Let us seek higher things,111.0,680.0,67.7,4.5,11795.0,12000.0,11.10%,76.80%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,7471.0,53.4872,-2.2737,www.salford.ac.uk
118,University of Westminster,London,1838.0,The Lord is our Strength,119.0,801.0,66.9,5.5,12000.0,14000.0,21.10%,75.10%,"15,000-19,999","1,500-1,999",Public,Semesters,Urban,10229.0,51.517,-0.1432,www.wmin.ac.uk
119,Anglia Ruskin University,East of England,1858.0,Excellence through partnership,120.0,730.0,68.1,4.0,10500.0,10500.0,10.40%,79.00%,"20,000-24,999",900-999,Public,Semesters,Urban,9415.0,52.2033,0.1345,www.anglia.ac.uk
